#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 13 00 999 99.0 99.0  0.36  2.17  2.84 229 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 13 30 999 99.0 99.0  0.36  8.33  3.01 114 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 14 00 999 99.0 99.0  0.35 12.50  2.96  80 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 14 30 999 99.0 99.0  0.33  2.13  2.70 222 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 15 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 15 30 999 99.0 99.0  0.30 12.50  2.84  88 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 16 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 16 30 999 99.0 99.0  0.31 11.76  2.98  74 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 17 00 999 99.0 99.0  0.27 11.76  3.20  69 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 17 30 999 99.0 99.0  0.26 11.11  3.63  95 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 18 00 999 99.0 99.0  0.33  8.33  2.88 108 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 18 30 999 99.0 99.0  0.37  2.17  2.69 270 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 19 00 999 99.0 99.0  0.42  2.22  2.59 264 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 19 30 999 99.0 99.0  0.40  2.33  2.78 264 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 20 00 999 99.0 99.0  0.40  2.27  2.69 254 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 20 30 999 99.0 99.0  0.43  2.33  2.71 242 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 21 00 999 99.0 99.0  0.39  2.27  2.77 254 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 21 30 999 99.0 99.0  0.37  2.08  2.91 268 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 22 00 999 99.0 99.0  0.34  2.17  2.91 267 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 22 30 999 99.0 99.0  0.37  2.04  3.04 270 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 23 00 999 99.0 99.0  0.37  2.04  3.02 267 9999.0 999.0  22.6 999.0 99.0 99.00
