#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
#yr	mo	dy	hr	mn	deg	T m/s	m/s	m	sec	sec	deg	T   hPa	degC	degC	degC	mi	ft
2019	1	6	18	0	999	99	99	0.71	7.69	3.9	39	9999	999	23.3	999	99	99
2019	1	6	18	30	999	99	99	0.67	7.14	3.68	36	9999	999	23.3	999	99	99
2019	1	6	19	0	999	99	99	0.7	4.35	3.65	21	9999	999	23.3	999	99	99
2019	1	6	19	30	999	99	99	0.7	7.69	3.62	28	9999	999	23.3	999	99	99
2019	1	6	20	0	999	99	99	0.71	7.69	3.7	36	9999	999	23.3	999	99	99
2019	1	6	20	30	999	99	99	0.69	7.14	3.82	24	9999	999	23.3	999	99	99
2019	1	6	21	0	999	99	99	0.65	7.14	3.94	35	9999	999	23.3	999	99	99
2019	1	6	21	30	999	99	99	0.63	7.69	3.72	35	9999	999	23.3	999	99	99
2019	1	6	22	0	999	99	99	0.63	7.69	3.75	36	9999	999	23.3	999	99	99
2019	1	6	22	30	999	99	99	0.63	7.14	3.85	46	9999	999	23.3	999	99	99
2019	1	6	23	0	999	99	99	0.61	7.14	3.67	40	9999	999	23.2	999	99	99
2019	1	6	23	30	999	99	99	0.63	4.35	3.74	36	9999	999	23.2	999	99	99
2019	1	7	0	0	999	99	99	0.65	7.69	3.81	40	9999	999	23.2	999	99	99
2019	1	7	0	30	999	99	99	0.62	7.69	3.83	42	9999	999	23.2	999	99	99
2019	1	7	1	0	999	99	99	0.62	16.67	3.88	63	9999	999	23.2	999	99	99
2019	1	7	1	30	999	99	99	0.62	7.14	3.99	38	9999	999	23.2	999	99	99
2019	1	7	2	0	999	99	99	0.59	7.14	3.87	50	9999	999	23.2	999	99	99
2019	1	7	2	30	999	99	99	0.6	15.38	3.92	73	9999	999	23.2	999	99	99
2019	1	7	3	0	999	99	99	0.58	7.69	3.91	57	9999	999	23.2	999	99	99
2019	1	7	3	30	999	99	99	0.6	7.14	4.08	45	9999	999	23.2	999	99	99
2019	1	7	4	0	999	99	99	0.59	6.67	3.94	45	9999	999	23.2	999	99	99
2019	1	7	4	30	999	99	99	0.63	6.67	4.05	46	9999	999	23.2	999	99	99
2019	1	7	5	0	999	99	99	0.64	6.67	4.01	43	9999	999	23.2	999	99	99
2019	1	7	5	30	999	99	99	0.66	6.67	4.13	49	9999	999	23.3	999	99	99
2019	1	7	6	0	999	99	99	0.62	6.67	4.11	49	9999	999	23.3	999	99	99
2019	1	7	6	30	999	99	99	0.6	6.67	3.99	33	9999	999	23.3	999	99	99
2019	1	7	7	0	999	99	99	0.56	6.67	3.94	39	9999	999	23.3	999	99	99
2019	1	7	7	30	999	99	99	0.61	6.25	4.07	42	9999	999	23.3	999	99	99
2019	1	7	8	0	999	99	99	0.57	6.67	4.11	31	9999	999	23.3	999	99	99
2019	1	7	8	30	999	99	99	0.57	6.67	4.18	38	9999	999	23.3	999	99	99
2019	1	7	9	0	999	99	99	0.55	6.25	4.23	39	9999	999	23.2	999	99	99
2019	1	7	9	30	999	99	99	0.55	6.67	4.2	36	9999	999	23.2	999	99	99
2019	1	7	10	0	999	99	99	0.56	6.25	3.91	40	9999	999	23.1	999	99	99
2019	1	7	10	30	999	99	99	0.59	6.25	3.99	32	9999	999	23.1	999	99	99
