#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 03 17 57 999 99.0 99.0  1.02 14.29  9.34 265 9999.0 999.0  13.1 999.0 99.0 99.00
2019 01 03 18 27 999 99.0 99.0  1.18 13.33 10.24 265 9999.0 999.0  13.2 999.0 99.0 99.00
2019 01 03 18 57 999 99.0 99.0  1.12 14.29 10.08 264 9999.0 999.0  13.1 999.0 99.0 99.00
2019 01 03 19 27 999 99.0 99.0  1.12 13.33  9.93 269 9999.0 999.0  13.2 999.0 99.0 99.00
2019 01 03 19 57 999 99.0 99.0  1.08 14.29 10.13 264 9999.0 999.0  13.7 999.0 99.0 99.00
2019 01 03 20 27 999 99.0 99.0  1.18 14.29 10.65 265 9999.0 999.0  13.8 999.0 99.0 99.00
2019 01 03 20 57 999 99.0 99.0  1.07 13.33  9.83 269 9999.0 999.0  14.0 999.0 99.0 99.00
2019 01 03 21 27 999 99.0 99.0  1.18 12.50 10.37 267 9999.0 999.0  14.5 999.0 99.0 99.00
2019 01 03 21 57 999 99.0 99.0  1.21 13.33 10.49 271 9999.0 999.0  13.7 999.0 99.0 99.00
2019 01 03 22 27 999 99.0 99.0  1.26 13.33 10.43 268 9999.0 999.0  14.2 999.0 99.0 99.00
2019 01 03 22 57 999 99.0 99.0  1.14 13.33 10.06 264 9999.0 999.0  14.5 999.0 99.0 99.00
2019 01 03 23 27 999 99.0 99.0  1.28 13.33 10.88 271 9999.0 999.0  14.8 999.0 99.0 99.00
2019 01 03 23 57 999 99.0 99.0  1.12 14.29 10.40 264 9999.0 999.0  14.3 999.0 99.0 99.00
2019 01 04 00 27 999 99.0 99.0  1.19 12.50 10.43 262 9999.0 999.0  14.7 999.0 99.0 99.00
2019 01 04 00 57 999 99.0 99.0  1.13 13.33 10.50 276 9999.0 999.0  14.5 999.0 99.0 99.00
2019 01 04 01 27 999 99.0 99.0  1.12 14.29 10.64 262 9999.0 999.0  13.9 999.0 99.0 99.00
2019 01 04 01 57 999 99.0 99.0  1.22 13.33 10.87 261 9999.0 999.0  13.8 999.0 99.0 99.00
2019 01 04 02 27 999 99.0 99.0  1.18 13.33 10.78 261 9999.0 999.0  13.8 999.0 99.0 99.00
2019 01 04 02 57 999 99.0 99.0  1.23 14.29 10.97 272 9999.0 999.0  13.4 999.0 99.0 99.00
2019 01 04 03 27 999 99.0 99.0  1.16 13.33 10.68 267 9999.0 999.0  12.7 999.0 99.0 99.00
2019 01 04 03 57 999 99.0 99.0  1.21 13.33 10.87 271 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 04 27 999 99.0 99.0  1.04 14.29 10.23 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 04 57 999 99.0 99.0  1.05 11.76 10.32 264 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 05 27 999 99.0 99.0  1.09 12.50 10.27 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 05 57 999 99.0 99.0  1.20 13.33 10.11 271 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 06 27 999 99.0 99.0  1.17 14.29 10.04 269 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 06 57 999 99.0 99.0  1.22 13.33 10.37 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 07 27 999 99.0 99.0  1.15 12.50  9.85 268 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 07 57 999 99.0 99.0  1.16 11.76 10.26 271 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 08 27 999 99.0 99.0  1.19 13.33 10.79 257 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 08 57 999 99.0 99.0  1.12 12.50 10.39 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 09 27 999 99.0 99.0  1.22 13.33 10.97 257 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 09 57 999 99.0 99.0  1.25 13.33 11.20 262 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 10 27 999 99.0 99.0  1.10 16.67 10.29 261 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 10 57 999 99.0 99.0  1.21 13.33 10.84 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 11 27 999 99.0 99.0  1.25 13.33 10.94 269 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 11 57 999 99.0 99.0  1.24 13.33 10.79 267 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 12 27 999 99.0 99.0  1.43 13.33 11.32 262 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 12 57 999 99.0 99.0  1.20 13.33 10.60 261 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 13 27 999 99.0 99.0  1.41 13.33 11.20 269 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 13 57 999 99.0 99.0  1.38 12.50 11.03 268 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 14 27 999 99.0 99.0  1.32 14.29 11.12 264 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 15 27 999 99.0 99.0  1.40 13.33 11.02 261 9999.0 999.0  12.4 999.0 99.0 99.00
